[Header]
GSGX Version	1.6.0
Report Date	5/4/2010 1:35:59 PM
Project	Direct Hybrid
Group Set	Single
Analysis	DirectHybrid
Normalization	none
[Control Probe Profile]
TargetID	ProbeID	4849554032_A.AVG_Signal	4849554032_B.AVG_Signal	4849554032_C.AVG_Signal	4849554032_D.AVG_Signal	4849554032_E.AVG_Signal	4849554032_F.AVG_Signal	4849554032_G.AVG_Signal	4849554032_H.AVG_Signal	4859453004_A.AVG_Signal	4859453004_B.AVG_Signal	4859453004_C.AVG_Signal	4859453004_D.AVG_Signal	4859453004_E.AVG_Signal	4859453004_F.AVG_Signal	4859453004_G.AVG_Signal	4859453004_H.AVG_Signal	4859453022_A.AVG_Signal	4859453022_B.AVG_Signal	4859453022_C.AVG_Signal	4859453022_D.AVG_Signal	4859453022_E.AVG_Signal	4859453022_F.AVG_Signal	4859453022_G.AVG_Signal	4859453022_H.AVG_Signal	4859453023_A.AVG_Signal	4859453023_B.AVG_Signal	4859453023_C.AVG_Signal	4859453023_D.AVG_Signal	4859453023_E.AVG_Signal	4859453023_F.AVG_Signal	4859453023_G.AVG_Signal	4859453023_H.AVG_Signal	4859453024_A.AVG_Signal	4859453024_B.AVG_Signal	4859453024_C.AVG_Signal	4859453024_D.AVG_Signal	4859453024_E.AVG_Signal	4859453024_F.AVG_Signal	4859453024_G.AVG_Signal	4859453024_H.AVG_Signal	4859453027_A.AVG_Signal	4859453027_B.AVG_Signal	4859453027_C.AVG_Signal	4859453027_D.AVG_Signal	4859453027_E.AVG_Signal	4859453027_F.AVG_Signal	4859453027_G.AVG_Signal	4859453027_H.AVG_Signal	
LABELING	5860132	79.9764	73.0416	82.4856	80.3839	83.7305	80.5512	93.3436	80.6243	123.2170	103.1551	97.8936	96.1182	98.7967	99.8720	102.1016	104.2735	100.9877	90.8985	104.6440	94.4078	91.5298	97.0124	113.5719	95.5604	116.7140	115.2102	104.7284	111.0219	104.4335	107.8096	106.8564	105.1517	117.0468	119.3186	125.2973	111.1886	110.1840	113.1246	102.9207	119.3572	92.4932	109.3029	98.1360	104.7371	89.9036	87.1332	103.4223	92.0647	
LOW_STRINGENCY_HYB	240255	10664.2300	6875.4740	8911.8120	8947.0380	9547.1790	8760.0240	9722.0820	10320.1600	17109.0700	16522.7000	15560.7200	16314.5200	14374.3000	17100.0600	17179.2600	16025.3900	20842.5200	19283.5800	16483.2100	13356.5600	12192.9600	14321.8000	19679.5200	16904.7000	22526.1300	21804.8000	19622.6400	20644.3200	19921.0400	19288.1800	20475.2300	21252.9300	28630.1000	26083.4500	27031.7900	24108.2400	26327.3100	24377.0200	24329.0500	25181.5600	12076.8300	10472.0200	10696.9000	11508.9600	9604.8170	8870.8930	11640.3500	9531.1820	
LOW_STRINGENCY_HYB	610647	4914.3380	4164.8570	3243.1220	3820.2460	5045.4900	4178.7920	5703.2960	5494.7810	12370.5000	9610.3060	8941.7100	9105.9490	8077.4980	9185.6420	10187.9100	9526.2840	10935.7000	9860.5360	8441.6050	7002.4120	9088.7480	9412.9920	12239.0700	9368.6580	14381.7400	13703.5500	12969.4100	14700.1600	13092.3800	12723.2200	13855.9600	14355.2000	15740.2100	16202.3500	17289.8200	15657.9600	16272.7200	16438.1800	14537.9900	15281.7800	5519.1810	5926.1120	5451.2100	5936.3920	4912.8190	5059.3700	7003.2210	4718.9990	
LOW_STRINGENCY_HYB	1110170	24115.5800	21261.3400	26622.8000	22747.7800	24957.1900	23472.0300	24251.6000	24211.7200	40521.6300	36740.8200	34938.6500	35626.1400	31157.5600	35810.6000	34237.1300	29884.2200	50663.8200	53916.7200	49694.8400	40398.7800	43482.4400	43419.8900	50276.7100	43636.6600	45542.7500	47884.0700	43792.3600	44336.9100	46111.3300	40761.3000	43413.5500	42939.7200	47433.1200	49344.8900	49991.4000	45302.3900	45684.3600	47334.6700	44863.3600	45449.1900	38011.8500	42259.5800	38571.2600	42891.0700	35237.6900	34310.8400	39553.8500	34357.6000	
LOW_STRINGENCY_HYB	2120427	267.1788	232.8320	261.1859	235.6419	255.9009	272.1056	256.5726	288.1644	1312.1520	1112.0700	967.8065	1133.4550	984.5921	1067.4300	914.2875	981.9168	441.1578	422.0125	422.2364	343.2613	346.2417	359.9777	474.0208	396.4873	1330.7570	1565.6330	1321.8650	1483.7110	1497.6910	1294.1780	1407.8910	1225.3980	1547.6050	1483.8950	1666.0760	1438.9440	1712.6720	1647.5110	1783.7500	1407.1710	329.3597	336.1667	339.6035	356.1539	287.2432	285.5323	368.5400	300.3852	
LOW_STRINGENCY_HYB	2510500	10752.6400	9353.7290	10295.1900	9845.6790	10516.0500	9150.5860	10350.7300	9868.1340	13221.1400	11554.8100	10332.3000	11200.4400	9680.4870	11090.4300	11383.0000	9578.6840	19740.3800	19239.8300	18130.5900	14208.1800	15364.3500	14855.5600	19241.5400	15482.9100	14687.5800	15571.5200	13855.3100	15122.2700	15751.2700	13131.0100	14348.6500	13603.3100	17245.6400	17700.5700	17718.8600	16539.5900	17336.5800	16794.3200	16410.3900	15844.6800	13106.5900	14616.0700	14189.0900	15933.6500	12329.4800	12228.4800	14532.6800	11876.8300	
LOW_STRINGENCY_HYB	3180440	596.5677	395.5533	485.1837	482.4288	567.9363	504.9090	607.4952	578.7686	1806.1740	1599.7630	1387.3240	1667.6690	1299.4610	1567.5660	1540.3890	1387.1520	1107.4160	1009.5670	856.8187	792.2327	675.1899	811.7712	1085.7220	1120.9990	1961.9060	2121.0200	1878.9710	1999.1750	2087.0300	1892.9190	2103.8280	2002.0810	2598.7140	2447.5650	2472.8490	2264.1530	2543.7600	2396.5670	2272.3000	2265.4080	655.3734	682.6392	635.2227	647.0707	585.2968	523.7080	788.8331	606.4497	
LOW_STRINGENCY_HYB	4010327	28420.9300	25310.1900	29861.0000	27127.8700	30480.7100	29616.5200	29849.8600	28774.0900	49105.9000	42089.6800	41025.1900	42227.9000	39017.0300	42983.6700	43132.7400	37198.3800	56544.6800	58420.5900	57528.2500	49201.6300	50548.5300	50265.8500	57399.1300	51174.2000	50446.4400	52855.6800	50518.7100	51574.9900	51374.7500	45978.0000	50350.0800	48221.8400	54620.0100	53525.2800	55962.5600	52891.4100	51366.9600	52663.8200	53177.0900	51557.7600	44162.4300	50834.9100	48668.2700	51216.7800	43794.3400	42148.1000	47520.8000	41230.2800	
LOW_STRINGENCY_HYB	4610291	8016.9000	6776.7620	7663.9580	7257.2300	7566.1960	7180.7990	7303.3010	7166.6770	10696.9400	9478.4190	9041.3900	10054.6600	7951.0410	9000.8490	9180.3000	7375.4450	14929.4800	15242.7000	14241.0200	11038.9100	12180.1000	12186.4900	15216.6000	13077.9800	11377.1800	12728.1800	11630.9000	12071.0100	12009.4200	10519.2300	11922.8100	11746.4000	13534.1200	14389.8500	14180.8300	13849.8300	14226.5000	13235.0700	12675.9000	12163.1300	10472.0700	11291.8400	11643.0000	11596.3400	10096.6700	10003.5200	11244.7300	9262.2490	
NEGATIVE	10477	107.1167	91.5376	103.3332	86.3145	98.2615	101.2962	109.7676	108.2366	151.1898	117.3289	103.1006	115.2363	136.3185	120.1265	128.8829	130.2062	139.5403	121.4253	131.3127	117.5408	114.6532	115.6894	145.2406	125.6965	136.9401	147.8848	122.7403	130.5943	140.3809	131.7113	136.7246	144.0824	142.7779	160.8762	139.9658	141.3736	150.6558	152.8203	142.9686	132.0721	110.6582	133.3885	124.7373	125.4563	107.4070	117.4896	152.0741	108.8231	
