TargetID	ProbeID	5445316054_A.AVG_Signal	5445316054_A.Detection Pval	5445316054_B.AVG_Signal	5445316054_B.Detection Pval	5445316054_C.AVG_Signal	5445316054_C.Detection Pval	5445316054_D.AVG_Signal	5445316054_D.Detection Pval	5445316054_E.AVG_Signal	5445316054_E.Detection Pval	5445316054_F.AVG_Signal	5445316054_F.Detection Pval	5445316054_G.AVG_Signal	5445316054_G.Detection Pval	5445316054_H.AVG_Signal	5445316054_H.Detection Pval	5445316054_I.AVG_Signal	5445316054_I.Detection Pval	5445316054_J.AVG_Signal	5445316054_J.Detection Pval	5445316054_K.AVG_Signal	5445316054_K.Detection Pval	5445316054_L.AVG_Signal	5445316054_L.Detection Pval	5491021084_A.AVG_Signal	5491021084_A.Detection Pval	5491021084_B.AVG_Signal	5491021084_B.Detection Pval	5491021084_C.AVG_Signal	5491021084_C.Detection Pval	5491021084_D.AVG_Signal	5491021084_D.Detection Pval	5491021084_E.AVG_Signal	5491021084_E.Detection Pval	5491021084_F.AVG_Signal	5491021084_F.Detection Pval	5491021084_G.AVG_Signal	5491021084_G.Detection Pval	5491021084_H.AVG_Signal	5491021084_H.Detection Pval	5491021084_I.AVG_Signal	5491021084_I.Detection Pval	5491021084_J.AVG_Signal	5491021084_J.Detection Pval	5491021084_K.AVG_Signal	5491021084_K.Detection Pval	5491021084_L.AVG_Signal	5491021084_L.Detection Pval
NEGATIVE	3190646	157.746	0.4909091	151.7611	0.4935065	161.1499	0.3051948	179.114	0.1935065	200.5362	0.06363636	180.9033	0.06233766	189.9494	0.06103896	207.1397	0.01688312	154.3828	0.6	173.3073	0.2883117	161.8969	0.1974026	177.9872	0.1558442	142.5259	0.5714286	154.1721	0.174026	158.1325	0.2896104	153.7372	0.3545454	136.5382	0.4064935	148.0785	0.3818182	148.8041	0.3090909	162.217	0.1584416	148.1383	0.4974026	144.6497	0.4038961	154.4927	0.4077922	141.667	0.3753247
NEGATIVE	3290608	172.4787	0.2519481	154.8857	0.4337662	188.4297	0.03376623	177.6802	0.2194805	192.4183	0.1064935	155.0465	0.4025974	176.9615	0.1688312	171.4212	0.212987	180.7564	0.1714286	184.549	0.1480519	158.9533	0.2545455	159.1895	0.4168831	149.4632	0.4701299	153.8987	0.1766234	157.4634	0.3	159.1255	0.2766234	144.2824	0.2727273	150.8124	0.3298701	136.8353	0.5090909	144.3876	0.4025974	146.4268	0.5220779	147.6794	0.3584416	174.7192	0.1194805	145.4609	0.312987
NEGATIVE	3310017	155.0211	0.5337662	159.2332	0.3285714	183.7462	0.04805195	192.6235	0.09740259	174.9215	0.2805195	153.5821	0.4246753	143.8614	0.7233766	173.3176	0.1961039	145.6386	0.7324675	195.7546	0.05844156	146.9887	0.5038961	148.1724	0.6467533	156.504	0.3558442	142.3207	0.3402597	170.5296	0.1441558	139.0808	0.5857143	141.5901	0.3090909	150.9912	0.325974	124.6914	0.6779221	145.6488	0.3818182	162.4916	0.2545455	161.5637	0.1532468	158.2101	0.3467532	124.746	0.6506494
NEGATIVE	3310072	149.4812	0.6298701	147.0036	0.5766234	162.6738	0.2779221	156.6412	0.5883117	185.9182	0.1441558	171.7248	0.1454545	161.7472	0.4103896	154.8204	0.4792208	169.3609	0.3181818	161.8505	0.4961039	155.2459	0.3155844	159.1663	0.4194805	155.9187	0.3597403	142.861	0.325974	138.9504	0.5896104	169.3419	0.1363636	126.3725	0.5753247	118.6341	0.774026	120.9078	0.7402598	142.3145	0.438961	151.4267	0.4441558	148.8268	0.3272727	164.9937	0.2415584	140.8647	0.3844156
NEGATIVE	3310433	158.9398	0.4636364	166.9444	0.1935065	140.6998	0.6922078	165.7949	0.4207792	183.0698	0.1766234	163.0017	0.2415584	199.0338	0.03506494	174.2356	0.1779221	237.5521	0.007792208	148.2745	0.7324675	165.7868	0.1506494	151.2193	0.5883117	134.2934	0.6753247	147.881	0.2506494	146.5958	0.487013	152.7195	0.3727273	144.2749	0.274026	141.8937	0.4766234	148.6371	0.3103896	134.0168	0.5818182	151.3083	0.4454545	137.6181	0.5168831	164.2292	0.2532468	124.9442	0.6467533
NEGATIVE	3310577	116.1691	0.9584416	99.31635	1	124.3464	0.8883117	121.6006	0.974026	121.9858	0.9831169	109.6975	0.9844156	124.5996	0.9233766	121.4729	0.9467533	108.5937	0.9987013	134.5141	0.8831169	119.65	0.9220779	133.9199	0.8402597	116.3963	0.851948	102.802	0.8974026	107.2602	0.9220779	126.4078	0.7324675	107.7146	0.8363636	104.5036	0.9311689	122.7333	0.7064935	116.0698	0.8246753	124.4245	0.7883117	131.3714	0.6051948	128.7128	0.761039	108.6693	0.864935
NEGATIVE	3310612	238.8013	0.005194805	197.2685	0.02727273	149.5528	0.5038961	175.3839	0.2506494	181.6369	0.1948052	187.8313	0.03506494	183.8218	0.09220779	183.0315	0.0948052	205.3745	0.03896104	197.3694	0.05194805	146.7299	0.5090909	233.3716	0.005194805	185.2624	0.07272727	158.1712	0.1337662	212.3774	0.005194805	168.8692	0.1467533	140.7457	0.3233766	173.0119	0.08701298	148.3066	0.3168831	148.3045	0.3376623	173.1695	0.1181818	157.1971	0.2077922	188.0256	0.04935065	161.2419	0.1
NEGATIVE	3360070	163.1329	0.3896104	141.8888	0.6597403	147.7874	0.5532467	173.754	0.274026	184.656	0.1558442	170.0869	0.1636364	194.6198	0.04155844	163.0128	0.338961	174.396	0.2402597	178.6197	0.2038961	147.0739	0.5025974	206.4997	0.02727273	163.6669	0.2597403	142.6506	0.3350649	149.277	0.451948	147.327	0.4584416	135.8721	0.4142857	190.6143	0.01818182	145.8932	0.3675325	143.3379	0.4233766	152.084	0.4285714	133.9487	0.5766234	175.5231	0.112987	136.0067	0.4675325
NEGATIVE	3360202	182.0477	0.1441558	141.3199	0.6675324	120.9782	0.9155844	140.1599	0.8194805	170.3572	0.3688312	175.5234	0.1038961	174.4876	0.1974026	147.788	0.6285715	163.5119	0.412987	162.2892	0.4896104	140.0026	0.6558442	183.1586	0.1064935	158.853	0.3194805	137.2397	0.4363636	165.105	0.2090909	159.4052	0.2727273	162.9554	0.07272727	143.6062	0.448052	136.5509	0.512987	125.8108	0.6974026	148.6734	0.4831169	157.8363	0.2012987	139.5533	0.612987	182.0797	0.01948052
NEGATIVE	3360274	173.0306	0.2402597	153.2548	0.4623377	165.475	0.2311688	182.4022	0.1649351	177.8461	0.238961	170.1646	0.1623377	170.0839	0.2727273	145.4912	0.6649351	168.1572	0.338961	178.3376	0.2064935	162.1637	0.1935065	180.7489	0.1350649	167.8012	0.2090909	149.5166	0.225974	148.4686	0.4636364	146.5728	0.4701299	167.9825	0.05454545	157.4603	0.2363636	170.5821	0.06233766	151.471	0.274026	136.8227	0.6545454	131.9852	0.5948052	150.0154	0.4701299	145.2672	0.3168831
