TargetID	ProbeID	5445316054_A.AVG_Signal	5445316054_A.Detection Pval	5445316054_A.BEAD_STDERR	5445316054_A.Avg_NBEADS	5445316054_B.AVG_Signal	5445316054_B.Detection Pval	5445316054_B.BEAD_STDERR	5445316054_B.Avg_NBEADS	5445316054_C.AVG_Signal	5445316054_C.Detection Pval	5445316054_C.BEAD_STDERR	5445316054_C.Avg_NBEADS	5445316054_D.AVG_Signal	5445316054_D.Detection Pval	5445316054_D.BEAD_STDERR	5445316054_D.Avg_NBEADS	5445316054_E.AVG_Signal	5445316054_E.Detection Pval	5445316054_E.BEAD_STDERR	5445316054_E.Avg_NBEADS	5445316054_F.AVG_Signal	5445316054_F.Detection Pval	5445316054_F.BEAD_STDERR	5445316054_F.Avg_NBEADS	5445316054_G.AVG_Signal	5445316054_G.Detection Pval	5445316054_G.BEAD_STDERR	5445316054_G.Avg_NBEADS	5445316054_H.AVG_Signal	5445316054_H.Detection Pval	5445316054_H.BEAD_STDERR	5445316054_H.Avg_NBEADS	5445316054_I.AVG_Signal	5445316054_I.Detection Pval	5445316054_I.BEAD_STDERR	5445316054_I.Avg_NBEADS	5445316054_J.AVG_Signal	5445316054_J.Detection Pval	5445316054_J.BEAD_STDERR	5445316054_J.Avg_NBEADS	5445316054_K.AVG_Signal	5445316054_K.Detection Pval	5445316054_K.BEAD_STDERR	5445316054_K.Avg_NBEADS	5445316054_L.AVG_Signal	5445316054_L.Detection Pval	5445316054_L.BEAD_STDERR	5445316054_L.Avg_NBEADS	5491021084_A.AVG_Signal	5491021084_A.Detection Pval	5491021084_A.BEAD_STDERR	5491021084_A.Avg_NBEADS	5491021084_B.AVG_Signal	5491021084_B.Detection Pval	5491021084_B.BEAD_STDERR	5491021084_B.Avg_NBEADS	5491021084_C.AVG_Signal	5491021084_C.Detection Pval	5491021084_C.BEAD_STDERR	5491021084_C.Avg_NBEADS	5491021084_D.AVG_Signal	5491021084_D.Detection Pval	5491021084_D.BEAD_STDERR	5491021084_D.Avg_NBEADS	5491021084_E.AVG_Signal	5491021084_E.Detection Pval	5491021084_E.BEAD_STDERR	5491021084_E.Avg_NBEADS	5491021084_F.AVG_Signal	5491021084_F.Detection Pval	5491021084_F.BEAD_STDERR	5491021084_F.Avg_NBEADS	5491021084_G.AVG_Signal	5491021084_G.Detection Pval	5491021084_G.BEAD_STDERR	5491021084_G.Avg_NBEADS	5491021084_H.AVG_Signal	5491021084_H.Detection Pval	5491021084_H.BEAD_STDERR	5491021084_H.Avg_NBEADS	5491021084_I.AVG_Signal	5491021084_I.Detection Pval	5491021084_I.BEAD_STDERR	5491021084_I.Avg_NBEADS	5491021084_J.AVG_Signal	5491021084_J.Detection Pval	5491021084_J.BEAD_STDERR	5491021084_J.Avg_NBEADS	5491021084_K.AVG_Signal	5491021084_K.Detection Pval	5491021084_K.BEAD_STDERR	5491021084_K.Avg_NBEADS	5491021084_L.AVG_Signal	5491021084_L.Detection Pval	5491021084_L.BEAD_STDERR	5491021084_L.Avg_NBEADS
NEGATIVE	6550128	163.8967	0.3818182	12.08579	15	153.3599	0.4597403	8.286837	21	177.203	0.08051948	13.39685	22	158.424	0.5519481	6.475434	25	180.4799	0.2077922	14.19816	22	124.388	0.887013	3.82186	27	144.3786	0.7181818	9.73842	20	154.7104	0.4818182	10.23313	22	155.5018	0.5688311	9.858916	18	147.3394	0.7467533	8.033987	15	129.0124	0.8116883	5.908122	17	143.9229	0.6922078	6.765934	16	156.9273	0.3467532	12.72389	19	144.0377	0.3090909	9.744846	25	149.1096	0.4545455	10.94223	27	156.4973	0.3142857	10.09794	22	146.6861	0.2324675	8.922589	25	148.2061	0.3779221	8.959579	31	144.1786	0.4012987	9.600341	26	138.5762	0.5116883	8.633794	19	155.3788	0.3571429	11.02455	31	154.0659	0.2571429	13.23733	19	149.0038	0.4883117	8.905008	17	133.5619	0.5103896	9.053572	24
NEGATIVE	6550161	126.6184	0.8961039	6.008767	21	125.8238	0.8675325	7.542354	16	113.2921	0.9753247	4.43556	24	132.6307	0.8831169	10.28047	20	133.4442	0.9246753	7.524048	24	131.9106	0.7883117	10.56935	20	117.786	0.9688312	6.937903	18	122.3021	0.9298701	7.064251	21	152.7714	0.6233766	11.05833	17	135.4533	0.8727273	9.30674	21	124.8154	0.8571429	9.496909	18	135.2999	0.825974	10.11032	26	123.7172	0.7675325	9.616268	20	116.1839	0.7415584	9.78547	25	122.0036	0.7766234	6.974555	33	108.0708	0.9025974	5.204621	32	107.0928	0.8454546	5.432147	23	100.444	0.9571428	5.621953	19	109.6145	0.848052	7.340014	17	110.3432	0.8831169	5.432699	28	103.2234	0.9844156	4.058816	26	141.2134	0.4558442	12.04251	29	98.3368	0.9935065	3.835577	12	96.06945	0.9935065	5.873893	11
NEGATIVE	6550192	150.9771	0.6077922	8.812876	24	153.9437	0.448052	9.497163	24	148.8267	0.5181818	8.514079	32	151.5627	0.6766234	10.37765	21	136.5191	0.8844156	4.192095	15	158.7222	0.3402597	10.95471	26	185.1387	0.08441558	20.32929	15	177.4409	0.1376623	14.99648	21	203.0369	0.04675325	24.09723	10	150.6504	0.7012987	9.304029	20	153.0704	0.3623376	6.453738	17	166.9605	0.2961039	13.94582	18	113.7894	0.8753247	4.872061	21	133.5224	0.4987013	12.19307	17	126.8636	0.7207792	6.538741	28	286.2738	0.001298701	69.5115	9	115.5273	0.7402598	6.590242	19	105.4129	0.9220779	4.500087	16	135.7838	0.5337662	8.028252	23	123.9482	0.725974	12.51465	12	159.8009	0.2805195	10.25858	22	116.5766	0.7818182	7.61273	21	133.7101	0.7025974	9.092803	24	127.7542	0.6077922	11.64506	14
NEGATIVE	6550470	146.4279	0.6727273	9.293489	26	125.7467	0.8688312	5.362225	20	140.2967	0.7	10.45092	20	125.1928	0.9506493	6.771708	7	149.5871	0.7285714	9.460671	14	142.1815	0.6272727	7.678629	33	150.7577	0.6311688	10.0769	18	125.4122	0.9090909	5.798318	13	136.2105	0.851948	8.387712	19	140.6034	0.8155844	5.859177	19	135.6373	0.7246753	7.572443	24	137.4093	0.8051948	8.378246	21	118.5927	0.812987	8.684974	18	106.4539	0.8597403	5.524237	23	105.2675	0.9415584	7.832014	13	118.0175	0.8155844	5.765898	17	99.91902	0.9207792	8.681892	13	109.2951	0.8857143	5.189692	22	122.6891	0.7090909	7.511996	24	112.4523	0.861039	5.684098	18	122.8376	0.8012987	6.681665	20	137.3773	0.5233766	8.380632	25	143.5778	0.5701299	9.677443	21	121.6871	0.6922078	6.89595	26
NEGATIVE	6550768	153.9094	0.5597402	7.939916	15	150.642	0.5142857	9.817656	17	156.8352	0.387013	9.101474	32	158.5268	0.5493507	9.233904	16	158.4819	0.5857143	12.34661	22	154.2116	0.4155844	6.319776	17	173.3917	0.212987	12.28087	29	149.1851	0.6	7.44413	24	169.9245	0.3116883	9.323394	26	148.9835	0.7207792	5.276891	19	161.856	0.1987013	9.307529	25	170.875	0.2441558	8.945024	35	182.5257	0.08961039	14.53349	23	138.252	0.4181818	9.541205	21	165.541	0.2038961	9.963624	31	160.3459	0.2623377	10.07337	31	128.1241	0.5415584	6.862217	33	178.0553	0.05064935	12.44382	28	137.1142	0.5025974	8.115745	25	147.9218	0.3467532	8.067172	24	171.0782	0.1376623	9.540111	24	147.6696	0.3597403	10.419	24	147.8612	0.5038961	7.609438	31	146.3096	0.3012987	8.176676	24
NEGATIVE	6560129	162.5555	0.4051948	8.080809	25	164.8624	0.225974	9.398814	25	131.3336	0.8116883	8.258383	18	168.5561	0.3649351	9.297289	21	144.8506	0.7844156	11.10591	14	158.7251	0.338961	7.841805	22	154.649	0.5493507	7.817815	16	173.6969	0.1896104	12.26908	17	154.8257	0.5883117	10.25467	16	186.6086	0.1246753	14.65539	19	160.8876	0.2142857	12.84785	21	165.0583	0.3207792	13.66734	23	159.1178	0.3168831	8.843312	23	144.9934	0.2948052	7.940852	21	148.0027	0.4701299	9.006235	23	148.5886	0.4350649	8.045184	27	162.49	0.07662338	11.5071	22	160.4589	0.1948052	8.631598	19	157.4292	0.2	12.66286	18	140.0742	0.4779221	3.823325	25	148.632	0.4857143	9.256285	28	150.5352	0.3090909	10.12957	21	155.7882	0.3909091	7.472147	32	147.2884	0.2714286	6.735404	23
NEGATIVE	6560360	170.1625	0.2857143	8.970118	25	154.4569	0.4415585	8.525434	28	180.3916	0.06233766	12.5134	25	175.6166	0.2454545	9.817141	26	166.2604	0.4337662	8.057867	23	164.7434	0.2233766	14.43706	13	162.0331	0.4	7.188355	31	162.3685	0.3493507	11.0129	20	158.8364	0.5090909	8.916553	18	173.1644	0.2922078	8.136581	25	168.7763	0.1233766	10.43467	20	158.9963	0.425974	9.540827	30	174.3912	0.1402597	9.134078	32	160.1287	0.1181818	8.444221	41	179.0818	0.07142857	12.07272	30	174.3308	0.1025974	10.38383	25	169.8639	0.04805195	13.32312	26	179.922	0.04285714	10.00186	28	166.5996	0.08441558	8.923877	28	179.9547	0.03636364	7.653684	34	168.51	0.1675325	8.758615	25	174.2971	0.05584415	9.073166	28	173.4268	0.1337662	11.3164	29	153.2539	0.1818182	7.286693	31
NEGATIVE	6560424	117.7833	0.9493507	5.1458	27	155.2513	0.4246753	15.36021	13	168.7392	0.1675325	12.3842	24	134.1469	0.864935	7.823839	22	139.6675	0.8454546	10.36583	17	131.5741	0.7935065	9.134967	18	130.0606	0.8753247	7.545041	20	125.4165	0.9077922	4.732803	25	134.2784	0.8675325	8.429441	24	125.0073	0.9584416	5.763348	22	125.8326	0.848052	9.49025	16	176.3799	0.1688312	13.88774	24	117.8611	0.8298701	5.678445	25	109.906	0.8116883	7.212664	17	116.8137	0.8272727	8.002975	21	108.5699	0.8987013	6.166389	18	114.0202	0.7636364	3.827233	31	109.6657	0.8805195	5.380259	19	116.4519	0.7844156	6.781029	22	144.5	0.4	13.01416	18	114.9528	0.8753247	9.361932	16	110.6438	0.861039	6.283996	27	138.9659	0.6246753	8.818077	21	116.2736	0.7597402	5.171474	30
NEGATIVE	6560521	151.9812	0.5948052	7.494802	23	160.4892	0.312987	8.392623	17	139.3023	0.7103896	7.789458	18	154.0354	0.6454545	8.564766	16	174.2337	0.2909091	13.01241	15	167.2296	0.1935065	11.7479	23	156.5328	0.5116883	9.50191	17	161.0583	0.3714286	10.21327	22	162.4046	0.4376623	16.39452	15	167.9547	0.3727273	11.56415	22	156.2056	0.3025974	14.58127	10	154.8332	0.5220779	10.10484	18	164.4651	0.2480519	11.06193	28	175.1927	0.03376623	13.16258	16	157.2938	0.3025974	11.08407	17	143.0144	0.5272727	11.2882	18	122.2756	0.635065	7.427307	20	148.3839	0.3714286	8.26561	20	147.2478	0.3376623	7.358475	28	196.3705	0.009090909	13.66251	16	179.0923	0.06103896	9.727573	26	152.6093	0.2857143	7.427968	21	140.7197	0.6012987	10.67412	13	159.5058	0.1168831	10.57128	24
NEGATIVE	6560685	163.0799	0.3922078	9.472546	23	157.3821	0.3779221	10.19301	20	147.0364	0.5727273	6.691149	19	159.7904	0.5311688	7.304719	24	169.636	0.3792208	8.92573	25	141.6113	0.638961	9.269858	21	151.2267	0.6194805	10.94059	16	156.4881	0.4610389	7.901935	26	171.8336	0.2727273	14.54593	19	171.198	0.3116883	13.06171	17	145.0146	0.5545455	4.835482	35	161.5107	0.374026	10.96967	22	141.8806	0.5844156	7.542623	26	120.2683	0.6922078	6.476367	28	152.8741	0.3844156	13.63763	21	138.5696	0.6	10.04264	20	139.8591	0.3441558	8.562741	17	122.5775	0.7324675	7.413377	19	146.4207	0.3558442	9.760093	19	139.5304	0.4896104	8.577759	30	155.5065	0.3519481	8.429662	30	145.2025	0.3961039	18.40653	12	148.5734	0.4948052	6.824387	28	137.0187	0.4428571	7.931064	19
